user_id,content_id,action,timestamp,device,region,session_id
127,1003,pause,2023-09-03 13:52:03,desktop,US,S4611
100,1004,pause,2023-09-03 12:54:09,tablet,US,S6383
113,1000,forward,2023-09-03 10:13:55,desktop,US,S7498
156,1002,skip,2023-09-03 04:26:43,tablet,APAC,S8053
117,1004,pause,2023-09-03 18:30:37,desktop,US,S9030
163,1000,pause,2023-09-03 19:17:46,desktop,APAC,S6816
156,1004,pause,2023-09-03 22:29:59,mobile,US,S5504
134,1002,play,2023-09-03 23:50:50,mobile,US,S6320
145,1001,play,2023-09-03 02:39:31,mobile,EU,S4656
132,1003,play,2023-09-03 06:49:55,tablet,US,S7550
179,1001,skip,2023-09-03 04:39:42,tablet,US,S6481
111,1003,play,2023-09-03 01:32:51,mobile,EU,S8636
161,1000,play,2023-09-03 23:22:55,desktop,APAC,S9860
176,1002,skip,2023-09-03 17:50:33,tablet,APAC,S2186
134,1000,forward,2023-09-03 02:43:39,mobile,APAC,S9603
129,1003,play,2023-09-03 00:38:12,tablet,EU,S8796
122,1001,play,2023-09-03 15:21:30,desktop,US,S1287
125,1004,forward,2023-09-03 15:39:35,desktop,US,S3701
176,1004,skip,2023-09-03 06:03:51,tablet,APAC,S1969
191,1004,skip,2023-09-03 17:07:06,mobile,US,S6992
132,1004,play,2023-09-03 05:17:16,desktop,EU,S8082
170,1000,play,2023-09-03 08:07:22,tablet,EU,S7772
158,1001,skip,2023-09-03 22:28:58,mobile,APAC,S3205
175,1000,play,2023-09-03 04:28:38,mobile,US,S9292
113,1002,skip,2023-09-03 23:00:10,tablet,APAC,S2982
193,1001,skip,2023-09-03 12:13:44,mobile,EU,S8372
130,1000,pause,2023-09-03 03:37:36,desktop,APAC,S6035
200,1001,pause,2023-09-03 12:36:36,mobile,APAC,S3103
108,1000,pause,2023-09-03 23:48:31,desktop,US,S6104
126,1000,play,2023-09-03 16:46:05,desktop,APAC,S5452
