user_id,content_id,action,timestamp,device,region,session_id
138,1003,forward,2023-09-04 03:08:42,mobile,APAC,S6534
129,1002,skip,2023-09-04 20:12:41,tablet,APAC,S2762
122,1003,forward,2023-09-04 00:41:04,desktop,APAC,S8304
157,1004,skip,2023-09-04 16:04:16,desktop,EU,S4258
158,1004,skip,2023-09-04 02:00:07,tablet,EU,S4342
194,1000,play,2023-09-04 22:42:34,desktop,US,S8375
113,1002,pause,2023-09-04 06:24:13,desktop,APAC,S4907
107,1004,skip,2023-09-04 23:09:22,tablet,US,S1899
120,1003,play,2023-09-04 08:08:13,mobile,US,S5523
111,1000,forward,2023-09-04 13:24:00,tablet,US,S8020
165,1001,play,2023-09-04 00:03:54,desktop,APAC,S6922
110,1000,play,2023-09-04 20:14:55,mobile,EU,S8293
123,1002,pause,2023-09-04 10:59:36,mobile,EU,S4332
186,1001,pause,2023-09-04 11:40:05,desktop,EU,S6208
148,1000,forward,2023-09-04 18:55:17,tablet,APAC,S9735
157,1001,play,2023-09-04 20:23:18,tablet,EU,S9043
114,1004,skip,2023-09-04 15:27:59,desktop,EU,S5765
130,1001,pause,2023-09-04 04:03:44,desktop,APAC,S8004
115,1000,skip,2023-09-04 11:15:42,tablet,EU,S8133
147,1002,play,2023-09-04 12:08:31,tablet,APAC,S7932
175,1001,skip,2023-09-04 04:18:08,desktop,EU,S1236
145,1002,pause,2023-09-04 08:15:02,tablet,EU,S2977
154,1002,forward,2023-09-04 16:48:36,tablet,US,S1693
128,1003,forward,2023-09-04 15:37:42,desktop,APAC,S4328
177,1004,skip,2023-09-04 08:11:03,mobile,EU,S1772
174,1001,skip,2023-09-04 08:32:57,mobile,US,S6531
140,1003,play,2023-09-04 16:17:38,tablet,EU,S2405
125,1004,play,2023-09-04 19:56:49,desktop,EU,S5371
106,1003,play,2023-09-04 18:34:41,desktop,EU,S9229
150,1002,play,2023-09-04 09:59:52,tablet,US,S2834
