user_id,content_id,action,timestamp,device,region,session_id
132,1002,pause,2023-09-01 21:42:29,desktop,US,S8064
172,1000,skip,2023-09-01 09:17:45,desktop,EU,S4094
137,1001,pause,2023-09-01 13:40:16,mobile,EU,S7493
144,1000,play,2023-09-01 09:35:52,tablet,APAC,S7842
199,1003,skip,2023-09-01 00:03:08,mobile,APAC,S1971
192,1001,skip,2023-09-01 13:13:01,desktop,US,S8260
144,1000,play,2023-09-01 04:49:11,mobile,APAC,S1946
103,1002,skip,2023-09-01 03:55:50,desktop,EU,S2607
183,1001,skip,2023-09-01 14:08:24,mobile,US,S5653
147,1002,skip,2023-09-01 16:33:58,tablet,US,S7430
193,1003,pause,2023-09-01 04:43:28,tablet,APAC,S1657
113,1004,skip,2023-09-01 03:07:25,tablet,APAC,S1541
147,1001,pause,2023-09-01 03:43:07,desktop,APAC,S4509
123,1002,skip,2023-09-01 20:59:44,desktop,APAC,S8375
129,1003,skip,2023-09-01 18:57:17,mobile,APAC,S2657
136,1003,play,2023-09-01 09:51:00,desktop,EU,S7885
130,1003,forward,2023-09-01 22:51:37,mobile,EU,S5804
116,1004,play,2023-09-01 04:51:14,tablet,APAC,S4042
162,1003,pause,2023-09-01 19:06:25,tablet,APAC,S7290
149,1004,forward,2023-09-01 14:22:05,tablet,US,S8476
195,1000,play,2023-09-01 15:36:39,tablet,APAC,S5720
169,1004,skip,2023-09-01 18:12:02,tablet,US,S1083
145,1003,pause,2023-09-01 00:18:53,desktop,APAC,S2208
108,1002,pause,2023-09-01 19:20:27,tablet,EU,S7515
109,1001,pause,2023-09-01 19:16:44,desktop,US,S8871
116,1003,skip,2023-09-01 11:37:15,desktop,APAC,S9666
104,1001,skip,2023-09-01 02:21:01,desktop,APAC,S3349
110,1002,forward,2023-09-01 10:31:13,tablet,APAC,S1208
176,1000,skip,2023-09-01 12:29:31,tablet,EU,S4722
135,1003,pause,2023-09-01 13:23:04,mobile,EU,S3222
