user_id,content_id,action,timestamp,device,region,session_id
144,1004,skip,2023-09-06 15:58:03,desktop,APAC,S9757
130,1000,forward,2023-09-06 07:58:44,mobile,US,S9970
158,1002,skip,2023-09-06 14:51:53,mobile,EU,S7383
193,1000,skip,2023-09-06 10:34:23,desktop,US,S7483
196,1004,forward,2023-09-06 10:01:28,tablet,EU,S9706
145,1004,forward,2023-09-06 02:14:30,tablet,EU,S6376
155,1000,pause,2023-09-06 04:54:46,tablet,EU,S6017
199,1001,skip,2023-09-06 05:01:15,desktop,APAC,S7987
122,1002,skip,2023-09-06 22:46:37,mobile,APAC,S1233
163,1003,skip,2023-09-06 17:14:10,mobile,US,S9318
131,1002,pause,2023-09-06 04:16:49,tablet,APAC,S7014
101,1002,forward,2023-09-06 06:41:36,mobile,EU,S7069
127,1001,skip,2023-09-06 00:56:18,mobile,EU,S1008
146,1004,skip,2023-09-06 05:05:36,desktop,US,S8910
197,1003,forward,2023-09-06 12:42:31,desktop,US,S8889
192,1001,forward,2023-09-06 22:24:23,mobile,APAC,S1436
186,1001,pause,2023-09-06 12:09:51,desktop,APAC,S7131
152,1002,skip,2023-09-06 06:07:31,mobile,APAC,S2643
103,1002,play,2023-09-06 11:29:16,mobile,US,S9398
146,1004,forward,2023-09-06 12:46:09,tablet,EU,S2655
176,1001,play,2023-09-06 10:11:16,mobile,US,S5344
149,1002,play,2023-09-06 07:41:10,desktop,EU,S3833
186,1003,pause,2023-09-06 17:50:05,desktop,EU,S5071
131,1002,pause,2023-09-06 17:02:56,desktop,APAC,S5432
107,1000,forward,2023-09-06 17:25:32,tablet,US,S8718
151,1001,play,2023-09-06 14:33:47,tablet,APAC,S8168
101,1003,forward,2023-09-06 06:47:38,mobile,APAC,S9622
152,1002,play,2023-09-06 20:58:22,tablet,APAC,S2021
113,1004,pause,2023-09-06 01:04:15,mobile,EU,S3023
160,1000,play,2023-09-06 19:04:13,desktop,US,S1628
